reflectivity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,X,Y,Z
49,13,20116,1414,268322742,268322742,13,-0.4973347187042236,-1.284865260124207,0.3180807828903198
64,14,20117,1.42,268322745,268322745,-1,-0.5127355456352234,-1.323966860771179,-0.02478241734206676
49,15,20117,1.4,268322747,268322747,15,-0.4883632957935333,-1.261033773422241,0.3623466491699219
12,0,20125,0.5660000000000001,268322768,268322768,-15,-0.1981499493122101,-0.5095417499542236,-0.1464915722608566
64,1,20126,1416,268322770,268322770,1,-0.5133643746376038,-1.319432616233826,0.02471260726451874
9,2,20127,0.61,268322772,268322772,-13,-0.2156141102313995,-0.5538783073425293,-0.1372201442718506
60,3,20128,1428,268322775,268322775,3,-0.5175480246543884,-1.328812479972839,0.07473574578762054
6,4,20128,642,268322777,268322777,-11,-0.228717640042305,-0.5872360467910767,-0.1224993765354156
50,5,20129,1402,268322779,268322779,5,-0.5071131587028503,-1.30134904384613,0.1221923530101776
7,6,20130,768,268322781,268322781,-9,-0.275542289018631,-0.7067294120788574,-0.1201416701078415
64,7,20131,1418,268322784,268322784,7,-0.5114796757698059,-1.311201333999634,0.1728107333183289
12,8,20132,906,268322786,268322786,-7,-0.3269449472427368,-0.8377062678337097,-0.1104136258363724
56,9,20132,1.42,268322788,268322788,9,-0.5099222660064697,-1.306535243988037,0.2221369445323944
61,10,20133,1458,268322791,268322791,-5,-0.5283133983612061,-1.352960228919983,-0.1270730793476105
57,11,20134,1.41,268322793,268322793,11,-0.5036741495132446,-1.289197206497192,0.2690406739711761
65,12,20135,1468,268322795,268322795,-3,-0.533713698387146,-1.36538302898407,-0.07682918012142181
52,13,20136,1418,268322798,268322798,13,-0.5032362937927246,-1.2867511510849,0.3189806044101715
64,14,20137,1.44,268322800,268322800,-1,-0.5246405601501465,-1.34079110622406,-0.02513146586716175
53,15,20137,1408,268322802,268322802,15,-0.4955779314041138,-1.266517519950867,0.3644172251224518
12,0,20145,0.5660000000000001,268322823,268322823,-15,-0.1999273747205734,-0.5088469982147217,-0.1464915722608566
64,1,20146,1432,268322825,268322825,1,-0.5238196849822998,-1.332521080970764,0.0249918457120657
8,2,20147,626,268322828,268322828,-13,-0.2232523113489151,-0.567630410194397,-0.1408193558454514
57,3,20148,1438,268322830,268322830,3,-0.5258400440216064,-1.33629047870636,0.07525910437107086
8,4,20148,648,268322832,268322832,-11,-0.2329227775335312,-0.5919147729873657,-0.1236442252993584
53,5,20149,1424,268322834,268322834,5,-0.5196813941001892,-1.319963693618774,0.1241097748279572
8,6,20150,0.76,268322837,268322837,-9,-0.2751116454601288,-0.6984115839004517,-0.1188901960849762
62,7,20151,1412,268322839,268322839,7,-0.5138699412345886,-1.30386745929718,0.1720795184373856
10,8,20152,882,268322841,268322841,-7,-0.3211289048194885,-0.8143994212150574,-0.1074887588620186
52,9,20153,1438,268322844,268322844,9,-0.521232008934021,-1.321195483207703,0.224952757358551
57,10,20153,1476,268322846,268322846,-5,-0.5396135449409485,-1.367788195610046,-0.1286418735980988
57,11,20154,1422,268322848,268322848,11,-0.5124960541725159,-1.298388123512268,0.2713303864002228
63,12,20155,1456,268322851,268322851,-3,-0.5340748429298401,-1.352365851402283,-0.07620115578174591
